Unnamed: 0,i,j,steps,acidgas_Fm,acidgas_CO2,acidgas_H2O,acidgas_H2S,acidgas_T,acidgas_P,air,air_SP,second_air2,air2_SP,COG,COG_SP,burner_input_T_SP,burner_input_T_PV,burner_inputP,burner_output_T_SP,burner_output_T_PV,burner_output_P_SP,burner_output_P_PV,fur_F,fur_inputT,fur_inputP,fur_temp,fur_outputT,fur_outputP_SP,fur_outputP_PV,WHB_F,WHB_inputT,WHB_inputP,WHB_outputT,WHB_outputP,SEP1_F,SEP1_P_SP,SEP1_P_PV,SEP1_T,HEATER1_F,HEATER1_input_T,HEATER1_input_P,HEATER1_output_T_SP,HEATER1_output_T_PV,HEATER1_output_P,cat1_F,cat1_input_temp,cat1_output_temp,cat1_input_P,cat1_output_P_SP,cat1_output_P_PV,cat1_deltaP,SEP2_F,SEP2_P_SP,SEP2_P_PV,SEP2_T,HEATER2_F,HEATER2_input_T,HEATER2_input_P,HEATER2_output_T_SP,HEATER2_output_T_PV,HEATER2_output_P,cat2_F,cat2_input_temp,cat2_output_temp,cat2_input_P,cat2_output_P_SP,cat2_output_P_PV,cat2_deltaP,SEP3_F,SEP3_P_SP,SEP3_P_PV,SEP3_T,B35_H2S,B35_SO2,ratio,ratioSP,conv
0,0.0,0.0,0.0,3015.83427137819,48.56552573972095,54.94417767075085,66.49287446711682,83.6,1.6722,2646.8833497402543,4183.819567712396,269.9998116656807,270.0,36.29288866586136,34.18635828221833,599.9999587739113,600.0002127779687,1.6221412796043968,1219.506405728874,1219.506643894297,1.622195,1.622195046477862,336.8702202895029,144.13270665140638,1.5723107634876614,932.2905815773248,932.6577001985077,1.571315,1.5713141328806792,333.0425249387403,932.6577001984864,1.521441381278814,348.49317662168346,1.5212848215658274,333.0425249387403,1.520795,1.52079067307408,180.3112752378686,320.2535513854316,180.31127524824723,1.426598895882807,265.2978717418964,265.29819465947185,1.4253935925507015,320.2535513854316,265.2981946594718,300.5772192627728,1.4251512672430702,1.411445,1.4114437877917347,13.707479451335436,318.04001223678506,1.361375,1.3613649984752156,70.04507366034379,242.88552545258003,70.04507366034878,1.2673412622316695,155.0,155.00285533221498,1.4253935925507015,242.88552545258003,155.00285533221498,175.36861596150936,1.2668675070143405,1.251615,1.2516124795024397,15.255027511900554,241.9774204476152,1.200915,1.2009121020156728,106.83865797209305,0.0316964027763202,0.0139453612803554,2.272899363386899,2.012651920994923,0.836350347503535
1,0.0,1.0,1.0,3015.8173947221444,48.56525396627458,54.9438702022679,66.49250237194484,83.6,1.6722,2646.870922621185,4183.795964483845,269.99975856993666,270.0,36.29286540909586,34.18637030962628,599.9999587739113,600.0001563738688,1.6221415330543316,1219.506405728874,1219.5064451904,1.622195,1.6221952998898106,336.8685647089844,144.13298059854,1.572311577065959,932.2912085167816,932.6585396018312,1.571315,1.5713149562535835,333.0408672041282,932.6585396018222,1.5214432469424006,348.4909346909285,1.5212866888774144,333.0408672041282,1.520795,1.520792543264975,180.32895462670285,320.2459397036187,180.32895464200664,1.4265999675306829,265.317083010301,265.31740102306924,1.4253946602231098,320.2459397036187,265.31740102306924,300.600481368456,1.4251523349172028,1.411445,1.4114447868989182,13.707548018284664,318.03216008179174,1.361375,1.3613660109229755,70.04495756321936,242.8807286352132,70.04495756323244,1.26734023569985,155.0,155.00265076762798,1.4253946602231098,242.8807286352132,155.00265076762798,175.36655451261166,1.2668664995672332,1.251615,1.2516121300034333,15.254369563799886,241.97265721779948,1.200915,1.2009110537877248,106.83585601463764,0.0316943042577606,0.0139440984441573,2.2729547116071003,2.012651920994923,0.836365474025722
2,0.0,2.0,2.0,3015.8073729437124,48.5650925804375,54.94368761982962,66.49228141257,83.6,1.6722,2646.8633414598576,4183.781931839086,269.9998408753151,270.0,36.29287397647356,34.18639372538322,599.9999587739113,600.0000148311681,1.6221415636429164,1219.506405728874,1219.50627138783,1.622195,1.622195330505252,336.8675781459885,144.13316758096406,1.5723119974280668,932.291575699896,932.6590123072468,1.571315,1.571315382392992,333.0398905132339,932.6590123072424,1.5214446546014122,348.48959067962016,1.5212880975422458,333.0398905132339,1.520795,1.5207939536731818,180.3465998478244,320.23909295138344,180.346599868046,1.4266009353955729,265.33605617030383,265.3363709778132,1.4253956183503886,320.23909295138344,265.3363709778132,300.623425760328,1.425153291974817,1.411445,1.411445615146614,13.707676828203176,318.02508679441604,1.361375,1.3613673714014716,70.04484123437275,242.87733597947235,70.04484123439128,1.2673400842152462,155.0,155.0022897440753,1.4253956183503886,242.87733597947235,155.00228974407534,175.36411678170802,1.266866362118166,1.251615,1.2516124893654972,15.253872752668762,241.96936145501448,1.200915,1.200910977824322,106.83305487712202,0.0316921880549227,0.0139428270786416,2.273010191991156,2.012651920994923,0.8363796456914266
3,0.0,3.0,3.0,3015.801656787086,48.56500053023619,54.943583479649135,66.49215538320271,83.6,1.6722,2646.8590361728284,4183.773923216912,269.99994314144175,270.0,36.29289188999915,34.18641180928392,599.9999587739113,599.9999107639769,1.6221414911763634,1219.506405728874,1219.5062023508508,1.622195,1.622195258081495,336.8670204594697,144.13328870812,1.5723121448392217,932.2918023745956,932.6592991906203,1.571315,1.5713155329922244,333.03934103712163,932.659299190618,1.5214456053880303,348.4888575037451,1.5212890489088158,333.03934103712163,1.520795,1.5207949060342434,180.36421309973497,320.2326816036713,180.36421312488352,1.4266015890883887,265.35488002182626,265.3551929364785,1.4253962588549949,320.2326816036713,265.3551929364785,300.64617599133527,1.425153930764846,1.411445,1.411446089024912,13.707841739934112,318.0184528296672,1.361375,1.3613685295270914,70.04472482310436,242.87444090740067,70.04472482313014,1.267340028624887,155.0,155.00197337019168,1.4253962588549949,242.87444090740067,155.00197337019168,175.36168574826272,1.2668663186240252,1.251615,1.2516128787023135,15.253439921711688,241.9665791262146,1.200915,1.2009111261586742,106.83025436670346,0.0316900762829602,0.0139415565695315,2.273065860681367,2.012651920994923,0.8363935692380303
4,0.0,4.0,4.0,3015.7983618933335,48.56494747087254,54.94352345140772,66.492082737647,83.6,1.6722,2646.8565491214886,4183.769312198691,270.0000190929683,270.0,36.292905111251805,34.186414545737044,599.9999587739113,599.9998694094261,1.6221413914789962,1219.506405728874,1219.5062781814866,1.622195,1.622195158416755,336.86669903978134,144.1333665647639,1.5723121402781914,932.2919293226588,932.6594705611952,1.571315,1.5713155302248851,333.0390191313738,932.6594705611932,1.5214462169441934,348.48843128361585,1.521289660809916,333.0390191313738,1.520795,1.5207955185238833,180.38179571392055,320.22649147901194,180.38179574214016,1.426601986457508,265.3736133788651,265.3739250610712,1.4253966412546848,320.22649147901194,265.3739250610712,300.6688103835906,1.4251543111155065,1.411445,1.4114462858590853,13.708025256421008,318.01204048475574,1.361375,1.3613693938942784,70.04460847401198,242.87169227892807,70.0446084740399,1.2673398777739775,155.0,155.00174311361675,1.4253966412546848,242.87169227892807,155.00174311361678,175.3593584315718,1.2668661792003546,1.251615,1.2516131485528212,15.25303064753336,241.9639443376631,1.200915,1.2009112721531914,106.82745453827272,0.0316879741215822,0.0139402895243124,2.273121664102959,2.012651920994923,0.8364074612843798
5,0.0,5.0,5.0,3015.796333484625,48.56491480636697,54.94348649670848,66.4920380154529,83.6,1.6722,2646.8549382505566,4183.766477950169,270.0000558664186,270.0,36.29292009616182,34.18642454727814,599.9999587739113,599.9998698253074,1.6221413069641872,1219.506405728874,1219.5062744134495,1.622195,1.622195073924973,336.86649717776487,144.1334138551584,1.5723120679536955,932.2920002461232,932.6595697724632,1.571315,1.5713154589933411,333.0388159391004,932.659569772462,1.5214466031103415,348.4881530331614,1.5212900471951238,333.0388159391004,1.520795,1.5207959052836706,180.3993484109572,320.2204027624138,180.39934844432523,1.4266022247714183,265.392289283562,265.392600162916,1.4253968638026333,320.2204027624138,265.392600162916,300.6913720476391,1.4251545314637473,1.411445,1.4114463143927356,13.708217071011664,318.0057295417437,1.361375,1.3613700038211496,70.04449224760302,242.86895566859243,70.04449224763633,1.2673396177909584,155.0,155.00159096152132,1.4253968638026333,242.86895566859243,155.00159096152132,175.35713955830175,1.26686593050016,1.251615,1.2516133027366243,15.25262776353542,241.9613186648189,1.200915,1.200911364325013,106.82465548609248,0.0316858814157212,0.0139390263266562,2.273177528557128,2.012651920994923,0.836421379616845
6,0.0,6.0,6.0,3015.794938450187,48.56489234141207,54.943461081180594,66.49200725784443,83.6,1.6722,2646.8537003517304,4183.7645320427455,270.0000656070495,270.0,36.2929262150716,34.186422524532176,599.9999587739113,599.9998943153645,1.6221412465035308,1219.506405728874,1219.5063475039783,1.622195,1.6221950134734406,336.8663495374376,144.13344721201742,1.5723119766835791,932.2920282876352,932.6596127255864,1.571315,1.5713153685205103,333.03866712832627,932.659612725586,1.5214468509334982,348.4879166973611,1.521290295178554,333.03866712832627,1.520795,1.5207961535466177,180.4168714552304,320.2143649697012,180.41687148869863,1.4266023846539542,265.4109219297756,265.411232185185,1.4253970075750868,320.2143649697012,265.411232185185,300.7138796602373,1.4251546729707345,1.411445,1.4114462605468463,13.708412423887983,317.9994693662717,1.361375,1.3613704274624492,70.04437627754916,242.8661963254336,70.04437627757854,1.267339282404628,155.0,155.00149545184317,1.4253970075750868,242.8661963254336,155.00149545184317,175.35500459290898,1.266865606414837,1.251615,1.2516133808624506,15.252225552386369,241.95866702315047,1.200915,1.2009114096262812,106.82185731400848,0.0316837966552597,0.0139377666832399,2.2732333935076734,2.012651920994923,0.8364353243731955
7,0.0,7.0,7.0,3015.793865396326,48.5648750614755,54.94344153167731,66.49198359923813,83.6,1.6722,2646.8526162330068,4183.76303796915,270.0000588389095,270.0,36.29292810302314,34.1864177687311,599.9999587739113,599.9999231798668,1.6221412101192905,1219.506405728874,1219.506405575108,1.622195,1.6221949770899742,336.8662275377368,144.13347091706746,1.5723118900316018,932.2920296115371,932.6596230396872,1.571315,1.5713152825402583,333.0385437141256,932.6596230396872,1.5214470146986825,348.4876936849507,1.5212904590755765,333.0385437141256,1.520795,1.5207963176784696,180.43436502529156,320.2083509107046,180.4343650588505,1.4266025145153187,265.42951909868907,265.4298287820335,1.425397121226064,320.2083509107046,265.4298287820335,300.7363434168511,1.425154784336204,1.411445,1.4114461755784171,13.7086087577869,317.99323280734575,1.361375,1.361370720860595,70.04426053674842,242.86340662501084,70.04426053677169,1.2673389019229402,155.0,155.0014380014695,1.425397121226064,242.86340662501084,155.0014380014695,175.35292979543155,1.2668652373059508,1.251615,1.251613415408826,15.251821897124929,241.95598224836132,1.200915,1.200911423610216,106.81906007865364,0.0316817184680706,0.0139365102589093,2.273289215125936,2.012651920994923,0.8364492868861718
8,0.0,8.0,8.0,3015.7929714526254,48.564860665841685,54.94342524530442,66.49196388963841,83.6,1.6722,2646.8516087575895,4183.761794474517,270.00004489400504,270.0,36.2929274019633,34.1864122811114,599.9999587739113,599.9999473019031,1.6221411924946303,1219.506405728874,1219.5064421555244,1.622195,1.6221949594615857,336.86611942735385,144.13348897248378,1.572311817770161,932.2920151086444,932.6596121747766,1.571315,1.5713152108895982,333.0384348316798,932.6596121747768,1.5214471291212168,348.4874754182531,1.5212905736137787,333.0384348316798,1.520795,1.520796432426554,180.45182920331456,320.2023555857046,180.45182923695936,1.4266026426719396,265.44808243559964,265.44839155805187,1.4253972331337608,320.2023555857046,265.4483915580518,300.7587652625169,1.4251548939501084,1.411445,1.411446088529389,13.708805420719504,317.9870151004053,1.361375,1.3613709280222843,70.04414504372416,242.8605977022237,70.04414504373997,1.2673385005373303,155.0,155.00140351886034,1.4253972331337608,242.8605977022237,155.00140351886034,175.35089397029057,1.2668648473407391,1.251615,1.2516134300722717,15.251417268467682,241.95327631227596,1.200915,1.2009114227382052,106.8162638259893,0.0316796458489013,0.0139352567711776,2.273344967307988,2.012651920994923,0.8364632517503695
9,0.0,9.0,9.0,3015.7922010740094,48.5648482600398,54.94341121011026,66.49194690439188,83.6,1.6722,2646.850670692337,4183.760723168329,270.00002988407647,270.0,36.292925459595686,34.186407264061096,599.9999587739113,599.9999635113502,1.6221411873735,1219.506405728874,1219.506459102936,1.622195,1.6221949543350598,336.8660220963263,144.133503560419,1.5723117616168116,932.29199257881,932.6595897563744,1.571315,1.5713151552987643,333.038337387488,932.6595897563752,1.521447213897308,348.4872664087876,1.521290658493132,333.038337387488,1.520795,1.5207965174956493,180.46926405785857,320.19637965405747,180.46926409158908,1.4266027818074134,265.46661199183944,265.4669205483242,1.4253973559879571,320.19637965405747,265.4669205483242,300.78114496367226,1.4251550145034948,1.411445,1.4114460121595256,13.709002343969212,317.9808170672308,1.361375,1.3613710784399695,70.04402981059525,242.8577814081509,70.04402981060713,1.2673380921021475,155.0,155.0013820625374,1.4253973559879571,242.8577814081509,155.0013820625374,175.3488826695314,1.26686445033927,1.251615,1.2516134377692991,15.251012569970968,241.95056173391407,1.200915,1.200911417673393,106.81346858576738,0.0316775782388623,0.0139340060557659,2.273400636692989,2.012651920994923,0.8364772062577448
